IITG Email ID,Student Name
amit.singh@iitg.ac.in,Amit Singh
divya.krishna@iitg.ac.in,Divya Krishna
rohan.shah@iitg.ac.in,Rohan Shah
neha.iyer@iitg.ac.in,Neha Iyer
aarav.sharma@iitg.ac.in,Aarav Sharma
pooja.jain@iitg.ac.in,Pooja Jain
siddharth.pandey@iitg.ac.in,Siddharth Pandey
meera.kapoor@iitg.ac.in,Meera Kapoor
varun.malhotra@iitg.ac.in,Varun Malhotra
shreya.ghosh@iitg.ac.in,Shreya Ghosh
aryan.bose@iitg.ac.in,Aryan Bose
tanvi.saxena@iitg.ac.in,Tanvi Saxena
nikhil.yadav@iitg.ac.in,Nikhil Yadav
priya.patel@iitg.ac.in,Priya Patel
abhishek.sinha@iitg.ac.in,Abhishek Sinha
