IITG Email ID,Student Name
aarav.sharma@iitg.ac.in,Aarav Sharma
priya.patel@iitg.ac.in,Priya Patel
rohit.kumar@iitg.ac.in,Rohit Kumar
sneha.singh@iitg.ac.in,Sneha Singh
arjun.gupta@iitg.ac.in,Arjun Gupta
kavya.reddy@iitg.ac.in,Kavya Reddy
vikram.joshi@iitg.ac.in,Vikram Joshi
ananya.nair@iitg.ac.in,Ananya Nair
karthik.rao@iitg.ac.in,Karthik Rao
riya.mehta@iitg.ac.in,Riya Mehta
dev.agarwal@iitg.ac.in,Dev Agarwal
ishita.bansal@iitg.ac.in,Ishita Bansal
harsh.verma@iitg.ac.in,Harsh Verma
sakshi.das@iitg.ac.in,Sakshi Das
rahul.tiwari@iitg.ac.in,Rahul Tiwari
